Substance,CAS,TWAppm,TWAmgm3,STELppm,STELmgm3,CEILINGppm,CEILINGmgm3,Keys,Year Adopted,Next Review,Comments
Acetaldehyde,[75-07-0],,,,,20,36,6.7B,2020,,
Acetic acid,[64-19-7],10,25,15,37,,,,,,
Acetic anhydride,[108-24-7],,,,,5,21,,,2022,
Acetone,[67-64-1],500,1185,1000,2375,,,bio,,,
Acetonitrile,[75-05-8],40,67,60,101,,,skin,,2023,
Acetylene,[74-86-2],,,,,,,sax,,,
"Acetylene dichloride (1,2-Dichloroethylene)",[540-59-0],200,793,,,,,,,,
Acetylene tetrabromide,[79-27-6],1,14,,,,,,,,
Acetylsalicylic acid (Aspirin),[50-78-2],,5,,,,,,,,
Acrolein,[107-02-8],0.1,0.23,,,,,,,2022,
Acrylamide,[79-06-1],,0.0015,,,,,6.7A; skin; dsen,2019,,
Acrylic acid,[79-10-7],2,5.9,,,,,skin; dsen,,,
Acrylonitrile (Vinyl cyanide),[107-13-1],0.05,0.1,,,,,6.7A; skin; dsen,2019,,
Allyl alcohol,[107-18-6],2,4.8,4,9.5,,,,,,
Allyl chloride,[107-05-1],1,3,2,6,,,6.7B,,,
Allyl glycidyl ether (AGE),[106-92-3],0.25,1.2,0.5,2.4,,,skin; dsen,2020,,
? Alumina (Aluminium oxide),[1344-28-1],,10,,,,,,,,
Aluminium oxide (? Alumina),[1344-28-1],,10,,,,,,,,
"Aluminium, Metal dust (as Al)",[7429-90-5],,10,,,,,,,2022,
"Aluminium, Alkyls (not otherwise classified) (as Al)",,,2,,,,,,,2022,
"Aluminium, Pyro powders (as Al)",,,5,,,,,,,2022,
"Aluminium, Soluble salts (as Al)",,,5,,,,,,,2022,
"Aluminium, Welding fumes (as Al)",,,5,,,,,,,2022,
"3-Amino-1,2,4-triazole (Amitrole)",[61-82-5],,0.2,,,,,,,,
2-Aminoethanol (Ethanolamine),[141-43-5],3,7.5,6,15,,,,,2022,
2-Aminopyridine,[504-29-0],0.5,2,,,,,,,,
"Amitrole (3-Amino-1,2,4-triazole)",[61-82-5],,0.2,,,,,,,,
"Ammonia, Anhydrous",[7664-41-7],25,17,35,24,,,,,2023,
Ammonium chloride fume,[12125-02-9],,10,,20,,,,,,
Ammonium perfluorooctanoate,[3825-26-1],,0.1,,,,,6.7B; skin,,,
Ammonium sulphamate,[7773-06-0],,10,,,,,,,,
Amosite (see Asbestos),,,,,,,,,,,
n-Amyl acetate,[628-63-7],100,532,,,,,,,2023,
sec-Amyl acetate,[626-38-0],125,665,,,,,,,,
Aniline and homologues,[62-53-3],1,4,2,8,,,6.7B; skin; dsen,2020,,
"Anisidine (o-, p-isomers)",[29191-52-4],0.1,0.5,,,,,6.7B; skin,,,
"Antimony and compounds, as Sb",[7440-36-0],,0.5,,,,,,,,
Antimony hydride (Stibine),[7803-52-3],0.1,0.51,,,,,,,,
Antimony trioxide,[1309-64-4],,0.1,,,,,,2019,,
Argon,[7440-37-1],,,,,,,,,,
"Arsenic and soluble compounds, as As",[7440-38-2],,0.001,,,,,,2020,,
Arsine,[7784-42-1],0.05,0.16,,,,,,,,
Asbestos (all forms),,,0.1,,,,,6.7A,2016,,"Regulation 9(1) of the Health and Safety at Work (Asbestos) Regulations 2016 (the ‘Asbestos Regulations’) requires PCBUs with management or control of a workplace to ensure that exposure of a person at  the workplace to airborne asbestos is eliminated so far as is reasonably practicable. If it is not reasonably practicable to eliminate exposure to airborne asbestos, exposure must be minimised so far as is reasonably practicable.

Regulation 9(2) of the Asbestos Regulations requires PCBUs with management or control of a workplace to ensure that the airborne contamination standard for asbestos is not exceeded at the workplace (however, in relation to an  asbestos removal area where class A asbestos removal work is being carried out, the regulations impose a more stringent standard). These requirements work together to ensure that there is a limit to the amount of asbestos that is permitted in the air of a workplace, without implying or meaning that the level delineates what is acceptable for personal exposure. Personal exposure must be eliminated or minimised so far as is reasonably practicable. The  WES provided within this guide for asbestos must be applied accordingly."
Asphalt (petroleum) fumes,[8052-42-4],,5,,,,,,,2022,
Aspirin (Acetylsalicylic acid),[50-78-2],,5,,,,,,,,
Atrazine,[1912-24-9],,5,,,,,,,2022,
Azinphos-methyl,[86-50-0],,0.2,,,,,skin;dsen,,,
Barium sulphate,[7727-43-7],,10,,,,,,,,
"Barium, soluble compounds, as Ba",[7440-39-3],,0.5,,,,,,,,
Benzene,[71-43-2],0.05,0.16,,,,,6.7A; skin,,,
p-Benzoquinone (Quinone),[106-51-4],0.1,0.44,,,,,,,,
Benzoyl peroxide,[94-36-0],,5,,,,,dsen,,,
Benzyl butyl phthalate,[85-68-7],,5,,,,,,,,
Benzyl chloride,[100-44-7],1,5.2,,,,,6.7A,,,
"Beryllium and compounds, as Be",[7440-41-7],,0.0002,,,,,6.7A; dsen,,,
Biphenyl (Diphenyl),[92-52-4],0.2,1.3,,,,,,,,
"Borates, tetra, sodium salts (Anhydrous)",[1330-43-4],,1,,,,,,,,
"Borates, tetra, sodium salts (Decahydrate)",[1303-96-4],,5,,,,,,,,
"Borates, tetra, sodium salts (Pentahydrate)",[12179-04-3],,1,,,,,,,,
Boron oxide,[1303-86-2],,10,,,,,,,,
Boron tribromide,[10294-33-4],,,,,1,10,,,,
Boron trifluoride,[7637-07-2],,,,,1,2.8,,,,
Bromacil,[314-40-9],1,11,,,,,6.7B,,,
Bromine,[7726-95-6],0.1,0.66,0.3,2,,,,,,
Bromine pentafluoride,[7789-30-2],0.1,0.72,,,,,,,,
Bromochloromethane (Chlorobromomethane),[74-97-5],200,1060,,,,,,,,
Bromoform,[75-25-2],0.5,5.2,,,,,skin,,,
"1,3-Butadiene",[106-99-0],0.05,0.1,,,,,6.7A,2019,,
Butane,[106-97-8],800,1900,,,,,,,,
Butanethiol (Butyl mercaptan),[109-79-5],0.5,1.8,,,,,,,,
"2-Butanone (Methyl ethyl ketone, MEK)",[78-93-3],150,445,300,890,,,bio,,,
2-Butoxyethanol (Butyl glycol ether),[111-76-2],25,121,,,,,skin,,2023,
n-Butyl acetate,[123-86-4],150,713,200,950,,,,,2023,
sec-Butyl acetate,[105-46-4],200,950,,,,,,,,
tert-Butyl acetate,[540-88-5],200,950,,,,,,,2022,
n-Butyl acrylate,[141-32-2],2,11,4,22,,,dsen,2019,,
n-Butyl alcohol,[71-36-3],,,,,50,150,skin,,2023,
sec-Butyl alcohol,[78-92-2],100,303,,,,,,,,
tert-Butyl alcohol,[75-65-0],100,303,150,455,,,,,2022,
n-Butyl glycidyl ether (BGE),[2426-08-6],0.25,1.33,,,,,skin; dsen,2019,,
Butyl glycol ether (2-Butoxyethanol),[111-76-2],25,121,,,,,skin,,2023,
n-Butyl lactate,[138-22-7],5,30,,,,,,,,
Butyl mercaptan (Butanethiol),[109-79-5],0.5,1.8,,,,,,,,
"Butylated hydroxytoluene (2,6-Di-tert-butyl-p-cresol)",[128-37-0],,10,,,,,dsen,,,
o-sec-Butylphenol,[89-72-5],5,31,,,,,skin,,,
p-tert-Butyltoluene,[98-51-1],10,61,20,121,,,,,,
"Cadmium and compounds, as Cd",[7440-43-9],,0.004(r),,,,,6.7A; b; bio,2020,,
Calcium carbonate,[471-34-1],,10,,,,,,,,
"Calcium chromate, as Cr",[13765-19-0],,,,,,,,2020,,"See Chromium (VI) compounds, as Cr"
Calcium cyanamide,[156-62-7],,0.5,,,,,dsen,,,
Calcium hydroxide,[1305-62-0],,5,,,,,,,2022,
Calcium oxide,[1305-78-8],,2,,,,,,,2023,
Calcium silicate,[1344-95-2],,10,,,,,,,,
"Calcium sulphate (Gypsum, Plaster of Paris)",[7778-18-9],,10,,,,,,,,
"Camphor, synthetic",[76-22-2],2,12,3,19,,,dsen,,,
Caprolactam (dust),[105-60-2],,1,,3,,,dsen,2021,,
Caprolactam (vapour),[105-60-2],5,23,10,46,,,dsen,2021,,
Captafol,[2425-06-1],,0.1,,,,,skin,,,
Captan,[133-06-2],,5,,,,,6.7B; dsen,,,
Carbaryl,[63-25-2],,5,,,,,,,,
Carbofuran,[1563-66-2],,0.1,,,,,,,,
Carbon black,[1333-86-4],,3,,,,,6.7B,,,
Carbon dioxide,[124-38-9],5000,9000,30000,54000,,,,,,
Carbon disulphide,[75-15-0],1,3,,,,,skin,2019,,
Carbon monoxide,[630-08-0],25,1.4,200,,"400ppm
Ceiling
100ppm
30 min
50ppm
60 min",,bio,,2021,
Carbon tetrabromide,[558-13-4],0.1,0.63,,,,,,,,
Carbon tetrachloride (Tetrachloromethane),[56-23-5],0.1,0.08,,,,,6.7B; skin,,,
Carbonyl chloride (Phosgene),[75-44-5],0.02,5.4,0.06,0.25,,,,,,
Carbonyl fluoride,[353-50-4],2,23,5,13,,,,,,
Catechol (Pyrocatechol),[120-80-9],5,10,,,,,skin,,,
Cellulose (paper fibre),[9004-34-6],,3,,,,,,,,
Cement (Portland cement),[65997-15-1],,1(r),,,,,dsen,2018,,
Chlorinated diphenyl oxide,[31242-93-0],,0.5,,,,,,,,
Chlorine,[7782-50-5],0.5,1.5,1,2.9,,,,,2023,
Chlorine dioxide,[10049-04-4],0.1,0.28,,,,,,,,
"2-Chloro-1,3-butadiene (?-Chloroprene)",[126-99-8],10,36,,,,,skin,,,
"1-Chloro-2,3-epoxy propane (Epichlorohydrin)",[106-89-8],0.05,0.19,0.15,0.58,,,6.7A; skin; dsen,2019,,
Chloroacetaldehyde,[107-20-0],,,,,1,3.2,,,,
Chloroacetone,[78-95-5],,,,,1,3.8,skin,,,
Chloroacetophenone (Phenacyl chloride),[532-27-4],0.05,0.32,,,,,,,,
Chloroacetyl chloride,[79-04-9],0.05,0.23,0.15,0.69,,,skin,,,
Chlorobenzene (Monochlorobenzene),[108-90-7],10,46,,,,,,,2023,
o-Chlorobenzylidene malononitrile,[2698-41-1],,,,,0.05,0.39,skin,,,
Chlorobromomethane (Bromochloromethane),[74-97-5],200,1060,,,,,,,,
Chlorodifluoromethane,[75-45-6],1000,3540,,,,,,,2023,
2-Chloroethanol (Ethylene chlorohydrin),[107-07-3],,,,,1,3.3,skin,,2023,
Chloroethylene (Vinyl chloride),[75-01-4],1,2.6,,,,,6.7A; dsen,2017,,
Chloroform (Trichloromethane),[67-66-3],2,9.9,,,,,6.7B; skin,,2022,
bis(Chloromethyl) ether,[542-88-1],0.001,0.0047,,,,,6.7A,,,
Chloropentafluoroethane,[76-15-3],1000,6320,,,,,,,,
"Chloropicrin (Nitrochloromethane, Trichloronitromethane)",[76-06-2],0.1,0.67,,,,,dsen; rsen,,,
"?-Chloroprene (2-Chloro-1,3-butadiene)",[126-99-8],10,36,,,,,skin,,,
2-Chloropropionic acid,[598-78-7],0.1,0.44,,,,,skin,,,
o-Chlorostyrene,[2039-87-4],50,283,75,425,,,,,,
Chlorosulphonic acid,[7790-94-5],,1,,,,,,,,
o-Chlorotoluene,[95-49-8],50,259,,,,,,,,
Chlorpyrifos,[2921-88-2],,0.2,,,,,skin,,,
"Chromite ore processing (Chromate), as Cr",,,0.05,,,,,6.7A,,,
"Chromium (II) compounds, as Cr",,,0.5,,,,,,,,
"Chromium (III) compounds, as Cr",[16065-83-1],,0.5,,,,,,,,
"Chromium (VI) compounds, as Cr",[18540-29-9],,0.00002,,0.0005,,,6.7A; bio; dsen; skin; rsen; †,2020,,"dsen for all chromium (VI) compounds except barium, lead and poorly soluble zinc chromates; skin for all water-soluble (?500g/L) chromium VI compounds; rsen; †"
Chromium metal,[7440-47-3],,0.5,,,,,rsen,,,
Chromyl chloride,[14977-61-8],0.025,0.16,,,,,dsen,,2022,
Chrysotile (see Asbestos),,,,,,,,,,,
Coal dust,,,3(r),,,,,,,,
"Coal tar pitch volatiles, as benzene solubles (PPAH, Particulate polycyclic aromatic hydrocarbons)",[65996-93-2],,0.2,,,,,6.7A,,,
"Cobalt carbonyl, as Co",[10210-68-1],,0.02,,,,,dsen,,,
"Cobalt metal dust and fume, as Co",[7440-48-4],,0.02,,,,,6.7B; bio; skin; dsen; rsen,2018,,
"Copper and its inorganic compounds, as Cu",[7440-50-8],,0.01(r),,,,,dsen,2020,,
"Cotton dust, raw",,,0.2,,,,,,,,
"Cresol, all isomers",[1319-77-3],5,22,,,,,skin,,2022,
Cristobalite (see Silica-Crystalline),,,,,,,,,2019,,
Crocidolite (see Asbestos),,,,,,,,,,,
Crotonaldehyde,[4170-30-3],2,5.7,,,,,6.7B; skin,,,
Cumene,[98-82-8],25,125,75,375,,,skin,,2023,
Cyanamide,[420-04-2],,2,,,,,dsen,,2021,
"Cyanides, as CN",[151-50-8] [143-33-9],,5,,,,,skin; dsen,2020,,
Cyanogen chloride,[506-77-4],,,,,0.3,0.75,,,,
Cyclohexane,[110-82-7],100,350,300,1050,,,,,,
Cyclohexanol,[108-93-0],50,206,,,,,skin,,,
Cyclohexanone,[108-94-1],25,100,,,,,skin,,2023,
Cyclohexene,[110-83-8],300,1010,,,,,,,,
Cyclohexylamine,[108-91-8],10,41,,,,,dsen,,2022,
Cyclopentadiene,[542-92-7],75,203,,,,,,,,
Cyclopentane,[287-92-3],600,1720,,,,,,,,
"2,4-D",[94-75-7],,10,,,,,dsen,,2022,
Di(2-ethylhexyl)phthalate (Di-sec-octyl phthalate),[117-81-7],,5,,10,,,,,2022,
Diacetone alcohol (4-Hydroxy-4- methyl-2-pentanone),[123-42-2],50,238,,,,,,,2023,
Diallyl phthalate,[131-17-9],,5,,,,,,,,
"1,2-Diaminoethane (Ethylenediamine)",[107-15-3],10,25,,,,,skin; dsen; rsen,,,
Diatomaceous earth (not calcined) (see Silica-Amorphous),[61790-53-2],,10,,,,,,,,
Diazinon,[333-41-5],,0.1,,,,,skin,,,
Diborane,[19287-45-7],0.1,0.11,,,,,,,,
"1,2-Dibromoethane (Ethylene dibromide)",[106-93-4],0.0003,0.002,,,,,6.7A; skin,2019,,
Dibutyl phenyl phosphate,[2528-36-1],0.3,3.5,,,,,skin,,,
Dibutyl phthalate,[84-74-2],2,5,,,,,,,2021,
2-N-Dibutylaminoethanol,[102-81-8],2,14,,,,,skin,,,
"1,1-Dichloro-1-nitroethane",[594-72-9],,12,,,,,,,,
"1,3-Dichloro-5,5-dimethyl hydantoin",[118-52-5],,0.2,,0.4,,,,,,
Dichloroacetylene,[7572-29-4],,,,,0.1,0.39,6.7B,,,
o-Dichlorobenzene,[95-50-1],,,,,50,301,skin,,2021,
p-Dichlorobenzene,[106-46-7],2,12,10,60,,,6.7B; skin,2019,,
Dichlorodifluoromethane,[75-71-8],1000,4950,,,,,,,,
"1,2-Dichloroethane (Ethylene dichloride)",[107-06-2],5,21,,,,,skin; dsen,,,
"1,1-Dichloroethane (Ethylidene chloride)",[75-34-3],200,810,250,1010,,,,,2021,
Dichloroethyl ether,[111-44-4],5,29,10,58,,,skin,,,
"1,2-Dichloroethylene (Acetylene dichloride)",[540-59-0],200,793,,,,,,,,
"1,1-Dichloroethylene (Vinylidene chloride)",[75-35-4],5,20,20,79,,,,,2022,
Dichlorofluoromethane,[75-43-4],10,42,,,,,,,,
Dichloromethane (Methylene chloride),[75-09-2],50,174,,,,,6.7B,,,
"1,2-Dichloropropane (Propylene dichloride)",[78-87-5],5,23,,,,,confirmed carcinogen,2019,,
Dichloropropene,[542-75-6],1,4.5,,,,,skin; dsen,,,
"2,2-Dichloropropionic acid",[75-99-0],1,5.8,,,,,,,,
Dichlorotetrafluoroethane,[76-14-2],1000,6990,,,,,,,,
Dichlorvos,[62-73-7],0.1,0.9,,,,,6.7B; skin; dsen,2019,,
Dicyclohexyl phthalate,[84-61-7],,5,,,,,,,,
Dicyclopentadiene,[77-73-6],5,27,,,,,,,2022,
Dicyclopentadienyl iron,[102-54-5],,5,,,,,,,,
Diesel fuel,,,,,,,,,,2021,
Diesel Particulate Matter (DPM) as elemental carbon,,,0.1,,,,,,2016,,Diesel engine exhaust is a confirmed carcinogen
Diethanolamine,[111-42-2],3,13,,,,,skin,,,
Diethyl ether (Ethyl ether),[60-29-7],400,1210,500,1520,,,,,2023,
Diethyl ketone,[96-22-0],200,705,,,,,,,,
Diethyl phthalate,[84-66-2],,5,,,,,,,,
Diethyl sulphate,[64-67-5],0.01,0.06,,,,,6.7A; skin; †,2020,,
Diethylamine,[109-89-7],10,30,25,75,,,skin; dsen,,2021,
2-Diethylaminoethanol,[100-37-8],10,48,,,,,skin,,2023,
Diethylene glycol,[111-46-6],23,101,,,,,,,2021,
Diethylene triamine,[111-40-0],1,4.2,,,,,skin; dsen; rsen,,,
Difluorodibromomethane,[75-61-6],100,858,,,,,,,,
Dihydroxybenzene (Hydroquinone),[123-31-9],,1,,,,,skin; dsen,2020,,
"Diisobutyl ketone (2,6-Dimethyl-4-heptanone)",[108-83-8],25,145,,,,,,,,
Diisobutyl phthalate,[84-69-5],,5,,,,,,,,
Diisococtyl phthalate,[27554-26-3],,5,,,,,,,,
Diisodecyl phthalate,[26761-40-0],,5,,,,,,,,
Diisononyl phthalate,[28553-12-0],,5,,,,,,,,
Diisopropylamine,[108-18-9],5,21,,,,,,,,
Dimethoxymethane (Methylal),[109-87-5],1000,3110,,,,,,,2023,
Dimethyl acetamide,[127-19-5],10,36,,,,,,,2022,
Dimethyl sulphate,[77-78-1],0.01,0.05,,,,,6.7A; skin; dsen,2019,,
"Dimethyl-1,2-dibromo-2, 2-dichloroethyl phosphate (Naled)",[300-76-5],,3,,,,,skin,,,
"2,6-Dimethyl-4-heptanone (Diisobutyl ketone)",[108-83-8],25,145,,,,,,,,
Dimethylamine,[124-40-3],10,18,,,,,dsen,,2021,
"Dimethylaminobenzene (Xylidine, mixed isomers)",[1300-73-8],0.5,2.5,,,,,6.7B; skin,,,
Dimethylaminoethanol,[108-01-0],2,7.4,6,22,,,,,,
"N,N-Dimethylaniline",[121-69-7],5,25,10,50,,,skin,,,
Dimethylbenzene (see Xylene),,50,217,,,,,,,,
Dimethylether,[115-10-6],400,766,500,958,,,,,,
"N,N-Dimethylethylamine",[598-56-1],10,30,15,46,,,,,,
Dimethylformamide,[68-12-2],10,30,,,,,skin,,2021,
"1,1-Dimethylhydrazine",[57-14-7],0.01,0.025,,,,,6.7B; skin,,,
Dimethylphthalate,[131-11-3],,5,,,,,,,,
"Dinitolmide (3,5-Dinitro-o-toluamide)",[148-01-6],,5,,,,,,,2021,
"Dinitrobenzene, all isomers",[528-29-0] [99-65-0] [100-25-4],0.15,1,,,,,skin,,,
Dinitro-o-cresol,[534-52-1],,,,,,,Revoked,2020,,
"3,5-Dinitro-o-toluamide (Dinitolmide)",[148-01-6],,5,,,,,,,2021,
Dinonyl phthalate,[84-76-4],,5,,,,,,,,
Dioxane,[123-91-1],5,18,,,,,6.7A; skin,2020,,
Diphenyl (Biphenyl),[92-52-4],0.2,1.3,,,,,,,,
Diphenylamine,[122-39-4],,10,,,,,,,2023,
Diphenylmethane diisocyanate (see Isocyanates),[101-68-8],,0.02,,0.07,,,,,2021,
Dipropyl ketone,[123-19-3],50,233,,,,,,,,
Dipropylene glycol methyl ether,[34590-94-8],100,606,150,909,,,skin,,2023,
Diquat,[2764-72-9],,0.5,,,,,,,2021,
Diquat dibromide,[85-00-7],,0.5,,,,,,,,
Di-sec-octyl phthalate (Di(2-ethylhexyl)phthalate),[117-81-7],,5,,10,,,,,2022,
Disulfiram,[97-77-8],,2,,,,,,,,
"2,6-Di-tert-butyl-p-cresol (Butylated hydroxytoluene)",[128-37-0],,10,,,,,,,,
Diuron,[330-54-1],,10,,,,,6.7B,,,
Divinyl benzene,[1321-74-0],10,53,,,,,,,,
Emery,[1302-74-5],,10,,,,,,,,
Enzymes (see Subtilins),,,,,,,,,,,
"Epichlorohydrin (1-Chloro-2,3-epoxy propane)",[106-89-8],0.05,0.19,0.15,0.58,,,6.7A; skin; dsen,2019,,
"2,3-Epoxy-1-propanol (Glycidol)",[556-52-5],2,6,,,,,6.7A; skin,2019,,
"1,2-Epoxypropane (Propylene oxide)",[75-56-9],2,4.8,,,,,6.7B; dsen,2018,,
Ethane,[74-84-0],,,,,,,sax,,,
Ethanedinitrile (EDN),[460-19-5],3,6.4,,,5,10.6,,2018,,
Ethanethiol (Ethyl mercaptan),[75-08-1],0.5,1.3,,,,,,,,
Ethanol (Ethyl alcohol),[64-17-5],1000,1880,,,,,,,2022,
Ethanolamine (2-Aminoethanol),[141-43-5],3,7.5,6,15,,,,,2022,
2-Ethoxyethanol (Glycol monoethyl ester),[110-80-5],5,18,,,,,skin; bio,,2021,
2-Ethoxyethyl acetate (EGEEA),[111-15-9],5,27,,,,,skin; bio,,2021,
Ethyl acetate,[141-78-6],200,720,,,,,,,,
Ethyl acrylate,[140-88-5],,,,,5,20,dsen,,2022,
Ethyl alcohol (Ethanol),[64-17-5],1000,1880,,,,,,,2022,
Ethyl amyl ketone (5-Methyl-3-heptanone),[541-85-5],25,131,,,,,,,2023,
Ethyl benzene,[100-41-4],100,434,125,543,,,,,2021,
Ethyl bromide,[74-96-4],5,22,,,,,6.7B; skin,,,
Ethyl butyl ketone (3-Heptanone),[106-35-4],50,234,,,,,,,2022,
Ethyl chloride,[75-00-3],100,264,,,,,6.7B,2019,,
Ethyl ether (Diethyl ether),[60-29-7],400,1210,500,1520,,,,,2023,
Ethyl formate,[109-94-4],100,303,,,,,,,,
Ethyl mercaptan (Ethanethiol),[75-08-1],0.5,1.3,,,,,,,,
Ethyl silicate,[78-10-4],10,85,,,,,,,2023,
Ethylamine,[75-04-7],10,18,,,,,skin,,2023,
Ethylene,[74-85-1],,,,,,,sa,,,
Ethylene chlorohydrin (2-Chloroethanol),[107-07-3],,,,,1,3.3,skin,,2023,
"Ethylene dibromide (1,2-Dibromoethane)",[106-93-4],0.0003,0.002,,,,,6.7A; skin,2019,,
"Ethylene dichloride (1,2-Dichloroethane)",[107-06-2],5,21,,,,,skin; dsen,,,
Ethylene glycol (vapour and mist),[107-21-1],,,,,50,127,,,2023,
Ethylene glycol dinitrate,[628-96-6],0.05,0.31,,,,,skin,,2022,
Ethylene glycol isopropyl ether,[109-59-1],25,106,,,,,,,2023,
Ethylene glycol methyl ether acetate (2-Methoxyethyl acetate),[110-49-6],0.1,0.5,,,,,skin,2019,,
Ethylene oxide,[75-21-8],0.1,0.2,,,,,6.7A; skin; dsen,2019,,
"Ethylenediamine (1,2-Diaminoethane)",[107-15-3],10,25,,,,,skin; dsen; rsen,,,
Ethyleneimine,[151-56-4],0.5,0.88,,,,,6.7B; skin,,,
"Ethylidene chloride (1,1-Dichloroethane)",[75-34-3],200,810,250,1010,,,,,2021,
Ethylidene norbornene,[16219-75-3],,,,,5,25,,,,
N-Ethylmorpholine,[100-74-3],5,24,,,,,skin,,,
Fenthion,[55-38-9],,0.2,,,,,skin,,,
Ferrovanadium dust,[12604-58-9],,1,,,,,,,,
Fibrous glass dust (see Synthetic mineral fibres),,,,,,,,,,,
Flour dust,,,1,,,,,rsen; †,2018,,
"Fluorides, as F",,,2.5,,,,,bio,,2023,
Fluorine,[7782-41-4],1,1.6,2,3.1,,,,,2022,
Fluorotrichloromethane (Trichlorofluoromethane),[75-69-4],,,,,1000,5620,,,2023,
Formaldehyde,[50-00-0],0.3,,0.6,,,,6.7A; dsen; †,2020,,
Formamide,[75-12-7],10,18,,,,,skin,,,
Formic acid,[64-18-6],5,9.4,10,19,,,,,,
Furfural,[98-01-1],0.2,0.8,,,,,6.7B; skin,2019,,
Furfuryl alcohol,[98-00-0],10,40,15,60,,,skin,,,
Gasoline (Petrol),[8006-61-9],300,890,500,1480,,,,,,
"Glass, fibrous or dust (see Synthetic mineral fibres)",,,,,,,,,,,
Glutaraldehyde,[111-30-8],,,,,0.05,0.21,dsen; rsen,2019,,
Glycerin (mist),[56-81-5],,10,,,,,,,,
"Glycidol (2,3-Epoxy-1-propanol)",[556-52-5],2,6,,,,,6.7A; skin,2019,,
Glycol monoethyl ester (2-Ethoxyethanol),[110-80-5],5,18,,,,,skin; bio,,2021,
"Grain dust (oat, wheat, barley)",,,4,,,,,,,,
"Graphite, all forms except graphite fibres",[7782-42-5],,3(r),,,,,,,,
Gypsum (Calcium sulphate),[7778-18-9],,10,,,,,,,,
Halothane,[151-67-7],0.5,,,,,,,,,
Helium,[7440-59-7],,,,,,,sa,,,
Heptane (n-Heptane),[142-82-5],400,1640,500,2050,,,,,,
3-Heptanone (Ethyl butyl ketone),[106-35-4],50,234,,,,,,,2022,
2-Heptanone (Methyl n-amyl ketone),[110-43-0],50,233,,,,,,,,
Hexachlorocyclopentadiene,[77-47-4],0.01,0.11,,,,,,,,
Hexachloroethane,[67-72-1],1,9.7,,,,,6.7B; skin,,,
Hexafluoroacetone,[684-16-2],0.1,0.68,,,,,skin,,,
Hexamethylene diisocyanate (see Isocyanates),[822-06-0],,0.02,,0.07,,,,,2021,
Hexane (n-Hexane),[110-54-3],20,72,,,,,bio,,2023,
"Hexane, Other isomers",[110-54-3],500,1760,1000,3500,,,,,2023,
2-Hexanone (Methyl n-butyl ketone ),[591-78-6],5,20,,,,,skin,,,
Hexone (Methyl isobutyl ketone),[108-10-1],50,205,75,307,,,,,2023,
sec-Hexyl acetate,[108-84-9],50,295,,,,,,,,
Hexylene glycol,[107-41-5],,,,,25,121,,,2023,
Hydrazine,[302-01-2],0.0002,0.00026,,,,,6.7B; skin,2019,,
Hydrogen,[1333-74-0],,,,,,,sax,,,
Hydrogen bromide,[10035-10-6],,,,,3,9.9,,,2023,
Hydrogen chloride,[7647-01-0],,,,,5,7.5,,,2023,
Hydrogen cyanide,[74-90-8],,,,,10,11,skin,,2023,
"Hydrogen fluoride, as F",[7664-39-3],,,,,3,2.6,,,2023,
Hydrogen peroxide,[7722-84-1],1,1.4,,,,,,,2023,
Hydrogen sulphide,[7783-06-4],5,7,10,14,,,,2019,,
Hydrogenated terphenyls,[61788-32-7],0.5,4.9,,,,,,,,
