Substance,CAS,TWAppm,TWAmgm3,STELppm,STELmgm3,CEILINGppm,CEILINGmgm3,Keys,Year Adopted,Next Review,Comments
Hydroquinone (Dihydroxybenzene),[123-31-9],,1,,,,,skin; dsen,2020,,
4-Hydroxy-4-methyl-2-pentanone (Diacetone alcohol),[123-42-2],50,238,,,,,,,2023,
2-Hydroxypropyl acrylate,[999-61-1],0.5,2.8,,,,,skin,,,
"Indium and compounds, as In",[7440-74-6],,0.1,,,,,,,,
Inhalable dust (not otherwise classified),,,10,,,,,,,,
Iodine,[7553-56-2],,,,,0.1,1,,,2021,
Iodoform,[75-47-8],0.6,10,,,,,,,,
Iodomethane,[74-88-4],2,12,,,,,skin,,,
"Iron oxide dust and fume (Fe2O3), as Fe",[1309-37-1],,5,,,,,w,,,
"Iron pentacarbonyl, as Fe",[13463-40-6],0.1,0.23,0.2,0.45,,,,,,
"Iron salts, soluble, as Fe",,,1,,,,,,,,
Isoamyl acetate,[123-92-2],100,532,,,,,,,,
Isoamyl alcohol,[123-51-3],100,361,125,452,,,,,2022,
Isobutyl acetate,[110-19-0],150,713,,,,,,,2023,
Isobutyl alcohol,[78-83-1],50,152,,,,,,,,
"Isocyanates, all, (as –NCO)",,,0.02,,0.07,,,dsen; rsen,,2021,"These values apply to all isocyanates, including prepolymers, present in the workplace air as vapours, mist or dust"
Isooctyl alcohol,[26952-21-6],50,266,,,,,skin,,,
Isophorone,[78-59-1],,,,,5,28,6.7B,,2023,
Isophorone diisocyanate (see Isocyanates),[4098-71-9],,0.02,,0.07,,,skin,,2021,
Isopropyl acetate,[108-21-4],250,1040,310,1290,,,,,,
Isopropyl alcohol,[67-63-0],400,983,500,1230,,,,,2023,
Isopropyl ether,[108-20-3],250,1040,310,1300,,,,,2023,
Isopropyl glycidyl ether (IGE),[4016-14-2],50,238,75,356,,,,,,
Isopropylamine,[75-31-0],5,12,10,24,,,,,,
Kaolin,[1332-58-7],,10 2(r),,,,,,,,
Ketene,[463-51-4],0.5,0.86,,,,,,,,
"Lead chromate, as Cr",[7758-97-6],,,,,,,,2020,,"see Chromium (VI) compounds, as Cr"
"Lead, inorganic dusts and fumes, as Pb",[7439-92-1],,0.05,,,,,6.7B; bio,2019,,
Limestone (Calcium carbonate),[1317-65-3],,10,,,,,,,,
Lindane,[58-89-9],,0.1,,,,,6.7B; skin,,,
Lithium hydride,[7580-67-8],,0.025,,,,,,,,
Lithium hydroxide,[1310-65-2],,,1,,,,,,,
LPG (Liquefied petroleum gas),[68476-85-7],1000,1800,,,,,,,,
Magnesite,[546-93-0],,10,,,,,,,,
Magnesium oxide fume,[1309-48-4],,10,,,,,,,2023,
Malathion,[121-75-5],,1,,,,,skin; ifv,2019,,
Maleic anhydride,[108-31-6],0.0025,0.01,,,,,sen; ifv,2019,,
"Manganese cyclopentadienyl tricarbonyl, as Mn",[12079-65-1],,0.1,,,,,skin,,,
"Manganese fume, dust and compounds, as Mn",[7439-96-5],,0.2 0.02(r),,,,,,2018,,
Man-made mineral fibres (see Synthetic mineral fibres),,,,,,,,,,,
Marble (Calcium carbonate),[471-34-1],,10,,,,,,,,
MDI (see Isocyanates),[101-68-8],,0.02,,0.07,,,,,2021,
"MEK (Methyl ethyl ketone, 2-Butanone)",[78-93-3],150,445,300,890,,,bio,,,
Mercury vapour (as Hg),[7439-97-6],,0.025,,,,,skin; bio,,2021,
"Mercury, Alkyl compounds (as Hg)",,,0.01,,,,,,,2021,
"Mercury, Inorganic compounds (as Hg)",,,0.025,,,,,,,2021,
Mesityl oxide,[141-79-7],15,60,25,100,,,,,2022,
Methacrylic acid,[79-41-4],20,70,,,,,,,,
Methane,[74-82-8],,,,,,,sax,,,
Methanethiol (Methyl mercaptan),[74-93-1],0.5,0.98,,,,,,,,
Methanol (Methyl alcohol),[67-56-1],200,262,250,328,,,skin; bio,,2022,
Methomyl,[16752-77-5],,2.5,,,,,,,,
Methoxychlor,[72-43-5],,10,,,,,,,,
2-Methoxyethanol,[109-86-4],0.1,0.3,,,,,skin,2019,,
2-Methoxyethyl acetate (Ethylene glycol methyl ether acetate),[110-49-6],0.1,0.5,,,,,skin,2019,,
4-Methoxyphenol,[150-76-5],,5,,,,,,,,
Methyl 2-cyanoacrylate,[137-05-3],2,9.1,4,18,,,,,,
Methyl acetate,[79-20-9],200,606,250,757,,,,,2023,
Methyl acetylene (Propyne),[74-99-7],1000,1640,,,,,,,,
Methyl acetylene-propadiene mixture (MAPP),[59355-75-8],1000,1640,1250,2050,,,,,,
Methyl acrylate,[96-33-3],10,35,,,,,skin,,2021,
Methyl alcohol (Methanol),[67-56-1],200,262,250,328,,,skin; bio,,2022,
Methyl amyl alcohol (Methyl isobutyl carbinol),[108-11-2],25,104,40,167,,,skin,,2023,
N-Methyl aniline,[100-61-8],0.5,2.2,,,,,skin,,2023,
Methyl bromide,[74-83-9],5,19,,,,,skin,,2021,
Methyl chloride,[74-87-3],50,103,100,207,,,skin,,2022,
"Methyl chloroform (1,1,1-Trichloroethane)",[71-55-6],125,680,,,,,,,2021,
"Methyl ethyl ketone (MEK, 2-Butanone)",[78-93-3],150,445,300,890,,,bio,,,
Methyl ethyl ketone peroxide,[1338-23-4],,,,,0.2,1.5,,,,
Methyl formate,[107-31-3],100,246,150,368,,,,,2022,
Methyl iodide,[74-88-4],2,12,,,,,6.7B; skin,,,
Methyl isoamyl ketone,[110-12-3],50,234,,,,,,,2022,
Methyl isobutyl carbinol (Methyl amyl alcohol),[108-11-2],25,104,40,167,,,skin,,2023,
Methyl isobutyl ketone (Hexone),[108-10-1],50,205,75,307,,,,,2023,
Methyl isopropyl ketone,[563-80-4],200,705,,,,,,,,
Methyl mercaptan (Methanethiol),[74-93-1],0.5,0.98,,,,,,,,
Methyl methacrylate,[80-62-6],50,208,100,416,,,skin,,2023,
Methyl n-amyl ketone (2-Heptanone),[110-43-0],50,233,,,,,,,,
Methyl n-butyl ketone (2-Hexanone),[591-78-6],5,20,,,,,skin,,,
Methyl propyl ketone (2-Pentanone),[107-87-9],200,705,250,881,,,,,,
Methyl silicate,[681-84-5],1,6,,,,,,,,
?-Methyl styrene,[98-83-9],50,242,100,483,,,,,,
1-Methyl-2-pyrrolidone,[872-50-4],25,103,75,309,,,skin,,2022,
5-Methyl-3-heptanone (Ethyl amyl ketone),[541-85-5],25,131,,,,,,,2023,
Methylacrylonitrile,[126-98-7],1,2.7,,,,,skin,,,
Methylal (Dimethoxymethane),[109-87-5],1000,3110,,,,,,,2023,
Methylamine,[74-89-5],10,13,,,,,,,2021,
Methylcyclohexane,[108-87-2],400,1610,,,,,,,2023,
Methylcyclohexanol,[25639-42-3],50,234,,,,,,,,
o-Methylcyclohexanone,[583-60-8],50,229,75,344,,,skin,,,
"2-Methylcyclopentadienyl manganese tricarbonyl, as Mn",[12108-13-3],,0.2,,,,,skin,,,
"4,4-Methylene bis(2-chloroaniline) (MOCA)",[101-14-4],,0.005,,,,,6.7A; skin,,,
Methylene bis(4-cyclohexylisocyanate) (see Isocyanates),,,,,,,,,,2021,
Methylene bisphenyl isocyanate (see Isocyanates),[101-68-8],,0.02,,0.07,,,,,2021,
Methylene chloride (Dichloromethane),[75-09-2],50,174,,,,,6.7B,,,
"4,4-Methylene dianiline",[101-77-9],0.002,0.016,,,,,6.7B; skin,2019,,
Methyl-tert butyl ether,[1634-04-4],25,92,75,275,,,,,,
Metribuzin,[21087-64-9],,5,,,,,,,,
Mica,[12001-26-2],,3(r),,,,,,,,
Mineral wool fibre (see Synthetic mineral fibres),,,,,,,,,,,
"MOCA (4,4-Methylene bis(2-chloroaniline))",[101-14-4],,0.005,,,,,6.7A; skin,,,
"Molybdenum, as Mo Soluble compounds Insoluble compounds",[7439-98-7],,5 10,,,,,,,,
Monochloroacetic acid,[79-11-8],0.3,1.2,,,,,skin,,,
Monochlorobenzene (Chlorobenzene),[108-90-7],10,46,,,,,,,2023,
Morpholine,[110-91-8],20,71,,,,,skin,,2023,
"Naled (Dimethyl-1,2-dibromo-2,2- dichloroethyl phosphate)",[300-76-5],,3,,,,,skin,,,
Naphthalene,[91-20-3],0.5,2.6,2,10,,,6.7B; skin,2019,,
Neon,[7440-01-9],,,,,,,sa,,,
"Nickel, elemental or metallic",[7440-02-0],,0.005(r),,,,,6.7B; sen,2018,,
"Nickel, inorganic compounds",,,0.02 0.005(r),,,,,6.7B; sen,2018,,
Nicotine,[54-11-5],,0.5,,,,,skin,,,
Nitric acid,[7697-37-2],2,5.2,4,10,,,,,2023,
Nitric oxide,[10102-43-9],25,31,,,,,,,2022,
p-Nitroaniline,[100-01-6],,3,,,,,skin,,,
Nitrobenzene,[98-95-3],1,5,,,,,6.7B; skin,,2021,
p-Nitrochlorobenzene,[100-00-5],0.1,0.64,,,,,6.7B; skin,,,
"Nitrochloromethane (Chloropicrin, Tricholoronitromethane)",[76-06-2],0.1,0.67,,,,,,,,
Nitroethane,[79-24-3],100,307,,,,,,,2022,
Nitrogen,[7727-37-9],,,,,,,sa,,,
Nitrogen dioxide,[10102-44-0],1,1.9,,,,,†,2020,2022,
Nitroglycerin (NG),[55-63-0],0.05,0.46,,,,,skin,,2022,
Nitromethane,[75-52-5],20,50,,,,,6.7B,,,
1-Nitropropane,[108-03-2],25,91,,,,,,,2022,
2-Nitropropane,[79-46-9],5,19,,,,,6.7A,,,
Nitrotoluene,[88-72-2] [99-08-1] [99-99-0],2,11,,,,,skin,,,
Nitrous oxide,[10024-97-2],25,45,,,,,,,,
Nonane,[111-84-2],200,1050,,,,,,,,
Octane,[111-65-9],300,1400,375,1750,,,,,,
"Oil mist, mineral",[8012-95-1],,5,,10,,,om,,,
"Osmium tetroxide, as Os",[20816-12-0],0.0002,0.0016,,,,,,,,
Oxalic acid,[144-62-7],,1,,2,,,,,,
Ozone,[10028-15-6],,,,,0.1,0.2,,,,
Paraffin wax fume,[8002-74-2],,2,,,,,,,,
Paraquat,[4685-14-7],,0.1(r),,,,,,,,
"Particulate polycyclic aromatic hydrocarbons (PPAH, Coal tar pitch volatiles)",[65996-93-2],,0.2,,,,,6.7A,,,
PCBs (Polychlorinated Biphenyls),[1336-36-3],,0.1,,,,,p,,,
Pentachloronaphthalene,[1321-64-8],,0.5,,,,,,,,
Pentachloronitrobenzene,[82-68-8],,0.5,,,,,,,,
Pentachlorophenol,[87-86-5],,0.5,,,,,6.7B; skin,,,
Pentaerythritol,[115-77-5],,10,,,,,,,,
Pentane,[109-66-0],600,1770,750,2120,,,,,,
2-Pentanone (Methyl propyl ketone),[107-87-9],200,705,250,881,,,,,,
Perchloroethylene (Tetrachloroethylene),[127-18-4],20,136,40,271,,,6.7A; skin,2018,,
Perchloromethyl mercaptan,[594-42-3],0.1,0.76,,,,,,,,
Perlite,[93763-70-3],,10,,,,,,,,
Petrol (Gasoline),[8006-61-9],300,890,500,1480,,,,,,
Phenacyl chloride (a-Chloroacetophenone),[532-27-4],0.05,0.32,,,,,,,,
Phenol,[108-95-2],1,3.8,2,7.7,,,skin,2020,,
Phenothiazine,[92-84-2],,5,,,,,,,,
Phenyl ether vapour,[101-84-8],1,7,2,14,,,,,,
Phenyl glycidyl ether (PGE),[122-60-1],0.1,0.6,,,,,6.7B; skin; dsen,2019,,
Phenyl mercaptan,[108-98-5],0.5,2.3,,,,,,,,
m-Phenylenediamine,[108-45-2],,0.1,,,,,,,,
o-Phenylenediamine,[95-54-5],,0.1,,,,,6.7B,,,
p-Phenylenediamine,[106-50-3],,0.1,,,,,skin,,,
"Phenylethylene (Styrene monomer, vinyl benzene)",[100-42-5],20,85,40,170,,,6.7B,2018,,
Phenylhydrazine,[100-63-0],0.1,0.44,,,,,6.7B; skin,,,
Phenylphosphine,[638-21-1],,,,,0.05,0.23,,,,
Phorate,[298-02-2],,0.05,,0.2,,,skin,,,
Phosgene (Carbonyl chloride),[75-44-5],0.02,0.08,0.06,0.25,,,,,,
Phosphine,[7803-51-2],0.3,0.42,1,1.4,,,,,2022,
Phosphoric acid,[7664-38-2],,1,,,,,,,,
Phosphorous (yellow),[7723-14-0],,0.1,,,,,,,,
Phosphorous oxychloride,[10025-87-3],0.1,0.63,,,,,,,2022,
Phosphorous pentachloride,[10026-13-8],0.1,0.85,,,,,,,,
Phosphorous pentasulphide,[1314-80-3],,1,,,,,,,,
Phosphorous trichloride,[7719-12-2],0.2,1.1,0.5,2.8,,,,,2023,
Phthalic anhydride,[85-44-9],0.002,0.01,,,,,skin; dsen; rsen,2019,,
m-Phthalodinitrile,[626-17-5],,5,,,,,,,,
Picloram,[1918-02-1],,10,,,,,,,,
"Picric acid (2,4,6-Trinitrophenol)",[88-89-1],,0.1,,,,,,,2021,
"Pindone (2-Pivaloyl-1,3-indandione)",[83-26-1],,0.1,,,,,,,,
Piperazine dihydrochloride,[142-64-3],,5,,,,,,,,
Piperidine,[110-89-4],1,3.5,,,,,skin,,,
"2-Pivaloyl-1,3-indandione (Pindone)",[83-26-1],,0.1,,,,,,,,
Plaster of Paris (Calcium sulphate),[7778-18-9],,10,,,,,,,,
Platinum metal,[7440-06-4],,1,,,,,,,,
"Platnium, Soluble salts, as Pt",,,0.002,,,,,dsen,,,
Polychlorinated Biphenyls (PCBs),[1336-36-3],,0.1,,,,,p,,,
Portland cement,[65997-15-1],,3 1(r),,,,,dsen,2018,,
Potassium hydroxide,[1310-58-3],,,,,,2,,,,
"PPAH (Particulate polycyclic aromatic hydrocarbons, Coal tar pitch volatiles)",[65996-93-2],,0.2,,,,,6.7A,,,
Precipitated silica (Silica-Amorphous),,,10,,,,,,,,
Propane,[74-98-6],,,,,,,sax,,,
"Propane-1,2-diol, Particulates only",[57-55-6],,10,,,,,,,,
"Propane-1,2-diol, Vapour and particulates",[57-55-6],150,474,,,,,,,,
Propargyl alcohol,[107-19-7],1,2.3,,,,,skin,,,
?-Propiolactone,[57-57-8],0.5,1.5,,,,,6.7B,,,
Propionic acid,[79-09-4],10,30,,,,,,,,
Propoxur,[114-26-1],,0.5,,,,,6.7B,,,
Propranolol,[525-66-6],,2,,6,,,,,,
n-Propyl acetate,[109-60-4],200,835,250,1040,,,,,,
n-Propyl alcohol,[71-23-8],200,492,250,614,,,skin,,,
n-Propyl nitrate,[627-13-4],25,107,40,172,,,,,,
Propylene,[115-07-1],,,,,,,sax,,,
"Propylene dichloride (1,2-Dichloropropane)",[78-87-5],5,23,,,,,confirmed carcinogen,2019,,
Propylene glycol dinitrate,[6423-43-4],0.05,0.34,,,,,skin,,2022,
Propylene glycol monomethyl ether,[107-98-2],100,369,150,553,,,,,,
"Propylene oxide (1,2-Epoxypropane)",[75-56-9],2,4.8,,,,,6.7B; dsen,2018,,
Propyne (Methyl acetylene),[74-99-7],1000,1640,,,,,,,,
Pyrethrum,[8003-34-7],,5,,,,,dsen,,,
Pyridine,[110-86-1],1,3.2,,,,,6.7B; skin,2019,,
Pyrocatechol (Catechol),[120-80-9],5,23,,,,,skin,,,
Quartz (see Silica-Crystalline),,,,,,,,,2019,,
Quinone (p-Benzoquinone),[106-51-4],0.1,0.44,,,,,,,,
RDX (Cyclonite),[121-82-4],,1.5,,,,,skin,,,
Resorcinol,[108-46-3],10,45,20,90,,,,,,
Respirable dust (not otherwise classified),,,3(r),,,,,,,,
Rhodium metal,[7440-16-6],,1,,,,,,,,
"Rhodium, Insoluble compounds, as Rh",,,1,,,,,,,,
"Rhodium, Soluble compounds, as Rh",,,0.01,,,,,,,,
Rosin core solder thermal decomposition products as resin acids (colophony),,,,,,,,dsen; rsen,,,Reduce to the lowest practicable level
Rotenone (commercial),[83-79-4],,5,,,,,,,,
Rouge,,,10,,,,,w,,,
Rubber fume (as cyclohexane soluble material),,,0.6,,,,,,,,
Rubber process dust,,,6,,,,,,,,
Rubber solvent (Naphtha),,400,1600,,,,,,,,
"Selenium and compounds, as Se",[7782-49-2],,0.1,,,,,,,,
Silane (Silicon tetrahydride),[7803-62-5],5,6.6,,,,,,,,
Silica fume,[69012-64-2],,2(r),,,,,,,,
Silica fused,[60676-86-0],,0.2(r),,,,,,,,
"Silica-Amorphous, Diatomaceous earth (not calcined)",[61790-53-2],,10,,,,,,,,
"Silica-Amorphous, Precipitated silica",[112926-00-8],,10,,,,,,,,
"Silica-Amorphous, Silica gel",[63231-67-4],,10,,,,,,,,
Silica-Crystalline (all forms),,,0.05(r),,,,,6.7A; †,2019,2022,?-quartz and cristobalite are confirmed carcinogens
Silicon,[7440-21-3],,10,,,,,,,,
Silicon carbide,[409-21-2],,10,,,,,,,,
Silicon tetrahydride (Silane),[7803-62-5],5,6.6,,,,,,,,
Silver metal,[7440-22-4],,0.1,,,,,,,,
"Silver, Soluble compounds, as Ag",,,0.01,,,,,,,,
Soapstone,,,6 3(r),,,,,,,,
Sodium azide,[26628-22-8],,,,,0.11,0.29,,,2023,
Sodium bisulphite,[7631-90-5],,5,,,,,,,,
Sodium disulphite,[7681-57-4],,5,,,,,,,,
Sodium fluoroacetate (1080),[62-74-8],,0.05,,,,,skin; bio,,,
Sodium hydroxide,[1310-73-2],,,,,,2,,,,
Starch,[9005-25-8],,10,,,,,,,,
Stearates,,,10,,,,,,,,
Stibine (Antimony hydride),[7803-52-3],0.1,0.51,,,,,,,,
Stoddard solvent (White spirits),[8052-41-3],100,525,,,,,,,,
"Strontium chromate, as Cr",[7789-06-2],,,,,,,,2020,,"see Chromium (VI) compounds, as Cr"
Strychnine,[57-24-9],,0.15,,,,,,,,
"Styrene monomer (Phenylethylene, vinyl benzene)",[100-42-5],20,85,40,170,,,6.7B,2018,,
"Subtilisins (Proteolytic enzymes, as 100% pure crystalline enzyme)",[1395-21-7] [9014-01-1],,,,,,0.00006,skin,,,
Sucrose,[57-50-1],,10,,,,,,,,
Sulfotep,[3689-24-5],,0.2,,,,,skin,,,
Sulphur dioxide,[7446-09-5],,,0.25,0.66,,,,2019,,
Sulphur hexafluoride,[2551-62-4],1000,5970,,,,,,,,
Sulphur monochloride,[10025-67-9],,,,,1,5.5,,,,
Sulphuric acid,[7664-93-9],,0.1,,,,,6.7A,2018,,
Sulphuryl fluoride,[2699-79-8],5,21,10,42,,,,,,
Synthetic mineral fibres (Man-made mineral fibres),,,2mg/m3* 0.3f/ml**,,,,,,2020,,*for non-carcinogenic SMFs; ** for carcinogenic SMFs
"2,4,5-T",[93-76-5],,10,,,,,,,,
Talc (containing asbestos fibres),,,,,,,,,,,Use asbestos standards
Talc (containing no asbestos fibres),[14807-96-6],,2(r),,,,,,,,
Tantalum metal,[7440-25-7],,5,,,,,,,,
"Tantalum, Oxide dusts",[1314-61-0],,5,,,,,,,,
TDI (see Isocyanates),[584-84-9] [91-08-7],,0.02,0.07,,,,,,2021,
TEDP (Sulfotep),[3689-24-5],,0.2,,,,,skin,,,
"Tellurium and compounds, as Te",[13494-80-9],,0.1,,,,,,,,
Temephos,[3383-96-8],,10,,,,,,,,
Terephthalic acid,[100-21-0],,10,,,,,,,2023,
Terphenyls,[26140-60-3],,,,,0.5,4.7,,,,
"1,1,1,2-Tetrachloro-2,2-difluoroethane",[76-11-9],500,4170,,,,,,,2023,
"1,1,2,2-Tetrachloroethane",[79-34-5],1,6.9,,,,,6.7B; skin,,,
Tetrachloroethylene (Perchloroethylene),[127-18-4],20,136,40,271,,,6.7A; skin,2018,,
Tetrachloromethane (Carbon tetrachloride),[56-23-5],0.1,0.63,,,,,6.7B; skin,,,
"Tetraethyl lead, as Pb",[78-00-2],,0.1,,,,,skin; bio; b,,,
"1,1,1,2-Tetrafluoroethane (HCF 134a)",[811-97-2],1000,4200,,,,,,,,
Tetrahydrofuran,[109-99-9],100,295,,,,,6.7B; skin,,2021,
Tetramethyl succinonitrile,[3333-52-6],0.5,2.8,,,,,skin,,,
Tetrasodium pyrophosphate,[7722-88-5],,5,,,,,,,,
"Tetryl (2,4,6-Trinitrophenylmethylnitramine)",[479-45-8],,1.5,,,,,sen,,,
"Thallium soluble compounds, as Tl",[7440-28-0],,0.1,,,,,skin,,2022,
"4,4’-Thiobis(6-tert-butyl-mcresol)",[96-69-5],,10,,,,,,,,
Thioglycolic acid,[68-11-1],1,3.8,,,,,skin,,,
Thionyl chloride,[7719-09-7],,,,,1,4.9,,,,
Thiram,[137-26-8],,0.2,,,,,ifv,2019,,
"Tin, metal",[7440-31-5],,2,,,,,,,2022,
"Tin, Organic compounds, as Sn",,,0.1,,0.2,,,skin,,,
"Tin, Oxide and inorganic compounds, except SnH4, as Sn",,,2,,,,,,,,
Titanium dioxide,[13463-67-7],,10,,,,,,,2022,
"TNT (2,4,6-Trinitrotoluene)",[118-96-7],,0.5,,,,,skin,,,
Toluene (Toluol),[108-88-3],50,188,,,,,skin,,2021,
"Toluene-2,4-diisocyanate (see Isocyanates)",[584-84-9],,0.02,,0.07,,,,,2021,
"Toluene-2,6-diisocyanate (see Isocyanates)",[91-08-7],,0.02,,0.07,,,,,,
m-Toluidine,[108-44-1],2,8.8,,,,,skin,,,
o-Toluidine,[95-53-4],0.2,0.89,,,,,6.7B; skin,,,
p-Toluidine,[106-49-0],2,8.8,,,,,6.7B; skin,,2022,
Toluol (Toluene),[108-88-3],50,188,,,,,skin,,2021,
Tributyl phosphate,[126-73-8],0.2,2.2,,,,,,,,
"1,1,2-Trichloro-1,2,2-trifluoroethane",[76-13-1],1000,7670,1250,9590,,,,,2023,
Trichloroacetic acid,[76-03-9],1,6.7,,,,,6.7B,,2022,
"1,2,4-Trichlorobenzene",[120-82-1],,,,,5,37,,,,
"1,1,1-Trichloroethane (Methyl chloroform)",[71-55-6],125,680,,,,,,,2021,
"1,1,2-Trichloroethane",[79-00-5],10,55,,,,,skin,,2022,
Trichloroethylene,[79-01-6],10,55,25,135,,,6.7A,2017,,
Trichlorofluoromethane (Fluorotrichloromethane),[75-69-4],,,,,1000,5620,,,2023,
Trichloromethane (Chloroform),[67-66-3],2,9.9,,,,,6.7B; skin,,2022,
Trichloronaphthalene,[1321-65-9],,5,,,,,skin,,,
"1,2,3-Trichloropropane",[96-18-4],0.005,0.03,,,,,6.7B; skin,2017,,
"Tricholoronitromethane (Chloropicrin, Nitrochloromethane)",[76-06-2],0.1,0.67,,,,,,,,
Tridymite (see Silica-Crystalline),,,,,,,,,2019,,
Triethanolamine,[102-71-6],,5,,,,,,,2022,
Triethylamine,[121-44-8],3,12,5,20,,,skin,,2023,
Trifluorobromomethane,[75-63-8],1000,6090,,,,,,,,
Triglycidyl isocyanurate (TGIC),[2451-62-9],,0.08,,,,,,,,
Trimellitic anhydride,[522-30-7],0.005,0.039,,,,,dsen; rsen,,,
Trimethyl benzene,[25551-13-7],25,123,,,,,,,,
Trimethyl phosphite,[121-45-9],2,10,,,,,,,,
Trimethylamine,[75-50-3],10,24,15,36,,,,,2022,
"2,4,6-Trinitrophenol (Picric acid)",[88-89-1],,0.1,,,,,,,2021,
"2,4,6-Trinitrophenylmethylnitramine (Tetryl)",[479-45-8],,1.5,,,,,sen,,,
"2,4,6-Trinitrotoluene (TNT)",[118-96-7],,0.5,,,,,skin,,,
Triorthocresyl phosphate,[78-30-8],,0.1,,,,,skin,,2022,
Triphenyl amine,[603-34-9],,5,,,,,,,,
Triphenyl phosphate,[115-86-6],,3,,,,,,,,
Tripoli (see Silica-Crystalline),,,,,,,,,2019,,
"Tungsten, as W",[7440-33-7],,,,,,,,,,
"Tungsten, as W, Insoluble compounds",,,5,,10,,,,,,
"Tungsten, as W, Soluble compounds",,,1,,,,,,,,
Turpentine (wood C10H16),[8006-64-2],100,556,,,,,,,2021,
"Uranium (natural) soluble and insoluble compounds, as U",[7440-61-1],,0.2,,,,,6.7A,,,
n-Valeraldehyde,[110-62-3],50,176,,,,,,,,
"Vanadium, as V, and its inorganic compounds, except CI pigment yellow 184",[1314-62-1],,0.05,,,,,†,2020,,
Vegetable oil mists,,,10,,,,,,,,
Vinyl acetate,[108-05-4],5,18,10,35,,,6.7B; †,2020,,
"Vinyl benzene (Styrene monomer, phenylethylene)",[100-42-5],20,85,40,170,,,6.7B,2018,,
Vinyl bromide,[593-60-2],0.3,1.3,,,,,6.7A,2017,,
Vinyl chloride (Chloroethylene),[75-01-4],1,2.6,,,,,6.7A; dsen,2017,,
Vinyl cyanide (Acrylonitrile),[107-13-1],0.05,0.1,,,,,6.7A; skin,2019,,
Vinyl cyclohexene dioxide,[106-87-6],0.1,0.6,,,,,6.7B; skin,2019,,
Vinyl toluene,[25013-15-4],50,242,100,483,,,,,2022,
"Vinylidene chloride (1,1-Dichloroethylene)",[75-35-4],5,20,20,79,,,,,2022,
Warfarin,[81-81-2],,0.1,,,,,,,,
Welding fume (not otherwise classified),,,5,,,,,w; confirmed carcinogen,2018,2021,"When evaluating health risk in relation to welding, exposures to the individual metals, gases and products of combustion should also be assessed. This is because many of the constituent metals, and other relevant substances that may be found in a welding plume have workplace exposure standards that are significantly lower than 5mg/m3, the WES-TWA for Welding fume (not otherwise classified), and may significantly contribute to health risk."
White spirits (Stoddard solvent),[8052-41-3],100,525,,,,,,,,
"Wood dust, hard",,,0.5,,,,,6.7A; 6.7B; sen,2019,,Confirmed/suspected carcinogen depending on hard wood type
"Wood dust, soft",,,2,,,,,†,2019,2022,
"Xylene (o-, m-, p-isomers)",[1330-20-7] [95-47-6] [108-38-3] [106-42-3],50,217,,,,,,,,
"m-Xylene a,a’-diamine",[1477-55-0],,,,,,0.1,skin,,,
Xylidine mixed isomers,[1300-73-8],0.5,2.5,,,,,6.7B; skin,,,
"Yttrium metal and compounds, as Y",[7440-65-5],,1,,,,,,,,
Zinc chloride fume,[7646-85-7],1,2,,,,,,,,
"Zinc chromates, as Cr",[13530-65-9] [11103-86-9] [37300-23-5],,,,,,,,2020,,"see Chromium (VI) compounds, as Cr"
Zinc oxide,[1314-13-2],0.1(r) 2,0.5(r) 5,,,,,,2020,,
"Zirconium and compounds, as Zr",[7440-67-7],5,10,,,,,,,,
